1/2663	(GI:30679533) is finished	(70.42 mins )
2/2663	(GI:15231398) is finished	(83.65 mins )
3/2663	(GI:79313225) is finished	(62.8 mins )
4/2663	(GI:42564060) is finished	(53.55 mins )
5/2663	(GI:30684462) is finished	(54.14 mins )
6/2663	(GI:18400439) is finished	(47.21 mins )
7/2663	(GI:30682289) is finished	(52.92 mins )
8/2663	(GI:186510218) is finished	(47.51 mins )
9/2663	(GI:240255339) is finished	(48.15 mins )
10/2663	(GI:79398896) is finished	(49.21 mins )
11/2663	(GI:42572389) is finished	(47.16 mins )
12/2663	(GI:15228551) is finished	(48.66 mins )
13/2663	(GI:145331754) is finished	(47.58 mins )
14/2663	(GI:18400739) is finished	(44.99 mins )
15/2663	(GI:42563517) is finished	(53.77 mins )
16/2663	(GI:15229245) is finished	(54.37 mins )
17/2663	(GI:15233020) is finished	(54.08 mins )
18/2663	(GI:18399805) is finished	(54.07 mins )
19/2663	(GI:15231359) is finished	(54.31 mins )
20/2663	(GI:15232498) is finished	(55.86 mins )
21/2663	(GI:42572387) is finished	(55.58 mins )
22/2663	(GI:30678498) is finished	(55.38 mins )
23/2663	(GI:22330990) is finished	(54.13 mins )
24/2663	(GI:18397984) is finished	(56.38 mins )
25/2663	(GI:240255273) is finished	(58.33 mins )
26/2663	(GI:18396660) is finished	(61.89 mins )
27/2663	(GI:42564075) is finished	(61.98 mins )
28/2663	(GI:15228393) is finished	(61.8 mins )
29/2663	(GI:186509930) is finished	(61.13 mins )
30/2663	(GI:18398086) is finished	(61.37 mins )
31/2663	(GI:18397358) is finished	(60.08 mins )
32/2663	(GI:15230470) is finished	(62.43 mins )
33/2663	(GI:79313185) is finished	(61.34 mins )
34/2663	(GI:15229319) is finished	(60.86 mins )
35/2663	(GI:30680771) is finished	(60.34 mins )
36/2663	(GI:15231328) is finished	(61.38 mins )
37/2663	(GI:15229517) is finished	(61.21 mins )
38/2663	(GI:30683724) is finished	(60.57 mins )
39/2663	(GI:145332010) is finished	(61.28 mins )
40/2663	(GI:18401423) is finished	(60.58 mins )
41/2663	(GI:42563465) is finished	(62.52 mins )
42/2663	(GI:15233017) is finished	(62.09 mins )
43/2663	(GI:18402225) is finished	(62.41 mins )
44/2663	(GI:18398755) is finished	(62.02 mins )
45/2663	(GI:15230652) is finished	(60.89 mins )
46/2663	(GI:15231864) is finished	(59.91 mins )
47/2663	(GI:30683646) is finished	(59.7 mins )
48/2663	(GI:30680042) is finished	(58.83 mins )
49/2663	(GI:15231488) is finished	(59.54 mins )
50/2663	(GI:15232607) is finished	(60.77 mins )
51/2663	(GI:15231501) is finished	(60.37 mins )
52/2663	(GI:79401231) is finished	(60.71 mins )
53/2663	(GI:30678425) is finished	(60.18 mins )
54/2663	(GI:30681463) is finished	(60.06 mins )
55/2663	(GI:30685143) is finished	(60.09 mins )
56/2663	(GI:18396541) is finished	(59.2 mins )
57/2663	(GI:15232831) is finished	(58.35 mins )
58/2663	(GI:15228311) is finished	(58.68 mins )
59/2663	(GI:145338539) is finished	(58.59 mins )
60/2663	(GI:186509685) is finished	(57.91 mins )
61/2663	(GI:79399060) is finished	(57.32 mins )
62/2663	(GI:30678433) is finished	(57.18 mins )
63/2663	(GI:18400638) is finished	(56.76 mins )
64/2663	(GI:79313279) is finished	(56.07 mins )
65/2663	(GI:42572401) is finished	(56.89 mins )
