1/2668	(GI:22331633) is finished	(99.69 mins )
2/2668	(GI:15229904) is finished	(62.69 mins )
3/2668	(GI:238479943) is finished	(50.61 mins )
4/2668	(GI:18408251) is finished	(61.87 mins )
5/2668	(GI:18405202) is finished	(60.54 mins )
6/2668	(GI:15229057) is finished	(56.49 mins )
7/2668	(GI:22331608) is finished	(51.39 mins )
8/2668	(GI:42572623) is finished	(54.81 mins )
9/2668	(GI:15229458) is finished	(52.22 mins )
10/2668	(GI:15229127) is finished	(50.55 mins )
11/2668	(GI:15230806) is finished	(53.43 mins )
12/2668	(GI:15233034) is finished	(53.57 mins )
13/2668	(GI:22331362) is finished	(51.02 mins )
14/2668	(GI:240255499) is finished	(49.01 mins )
15/2668	(GI:15232735) is finished	(49.18 mins )
16/2668	(GI:15229744) is finished	(50.04 mins )
17/2668	(GI:15232713) is finished	(50.78 mins )
18/2668	(GI:15230727) is finished	(51.11 mins )
19/2668	(GI:18404471) is finished	(50.3 mins )
20/2668	(GI:15232275) is finished	(49.77 mins )
21/2668	(GI:15230489) is finished	(49.17 mins )
22/2668	(GI:15228487) is finished	(49.21 mins )
23/2668	(GI:22331443) is finished	(52.68 mins )
24/2668	(GI:145332777) is finished	(52.7 mins )
25/2668	(GI:30689857) is finished	(53.65 mins )
26/2668	(GI:15229230) is finished	(52.01 mins )
27/2668	(GI:186510882) is finished	(50.54 mins )
28/2668	(GI:15231216) is finished	(52.42 mins )
29/2668	(GI:79607902) is finished	(53.16 mins )
30/2668	(GI:22331670) is finished	(54.38 mins )
31/2668	(GI:15232949) is finished	(54.59 mins )
32/2668	(GI:15233118) is finished	(54.04 mins )
33/2668	(GI:15231795) is finished	(54.68 mins )
34/2668	(GI:15232197) is finished	(55.16 mins )
35/2668	(GI:15232277) is finished	(54.95 mins )
36/2668	(GI:30688648) is finished	(53.97 mins )
37/2668	(GI:15231316) is finished	(53.28 mins )
38/2668	(GI:145332709) is finished	(53.37 mins )
39/2668	(GI:15230575) is finished	(52.79 mins )
40/2668	(GI:15231202) is finished	(53.74 mins )
41/2668	(GI:15233060) is finished	(52.98 mins )
42/2668	(GI:42565264) is finished	(51.97 mins )
43/2668	(GI:15231546) is finished	(51.71 mins )
44/2668	(GI:30686677) is finished	(50.76 mins )
45/2668	(GI:15229869) is finished	(50.45 mins )
46/2668	(GI:18410149) is finished	(50.11 mins )
47/2668	(GI:30688484) is finished	(50.44 mins )
48/2668	(GI:42565133) is finished	(52.39 mins )
49/2668	(GI:186510825) is finished	(51.6 mins )
50/2668	(GI:15232408) is finished	(51.03 mins )
51/2668	(GI:18406975) is finished	(50.24 mins )
52/2668	(GI:79314905) is finished	(50.18 mins )
53/2668	(GI:15232826) is finished	(50.05 mins )
54/2668	(GI:15229132) is finished	(50.35 mins )
55/2668	(GI:15231352) is finished	(50.84 mins )
56/2668	(GI:18403854) is finished	(50.51 mins )
57/2668	(GI:186510482) is finished	(50.21 mins )
58/2668	(GI:15228564) is finished	(50.38 mins )
59/2668	(GI:42572569) is finished	(49.77 mins )
60/2668	(GI:186510850) is finished	(49.11 mins )
61/2668	(GI:15228201) is finished	(50.54 mins )
62/2668	(GI:15232591) is finished	(49.88 mins )
63/2668	(GI:186510450) is finished	(49.72 mins )
64/2668	(GI:15230125) is finished	(49.22 mins )
65/2668	(GI:18404612) is finished	(48.71 mins )
66/2668	(GI:15233054) is finished	(49.74 mins )
67/2668	(GI:15231815) is finished	(49.3 mins )
68/2668	(GI:186511058) is finished	(49.21 mins )
69/2668	(GI:15231362) is finished	(49.68 mins )
70/2668	(GI:18405677) is finished	(49.69 mins )
71/2668	(GI:15228396) is finished	(50.49 mins )
72/2668	(GI:186510485) is finished	(49.94 mins )
73/2668	(GI:15229181) is finished	(50.3 mins )
74/2668	(GI:15228792) is finished	(49.89 mins )
75/2668	(GI:238480058) is finished	(49.39 mins )
76/2668	(GI:145332783) is finished	(48.89 mins )
77/2668	(GI:22331756) is finished	(49.08 mins )
78/2668	(GI:30688447) is finished	(49.07 mins )
79/2668	(GI:15229038) is finished	(49.35 mins )
