1/2661	(GI:15233782) is finished	(13.57 mins )
2/2661	(GI:79325527) is finished	(29.94 mins )
3/2661	(GI:15236416) is finished	(44.26 mins )
4/2661	(GI:15234678) is finished	(52.47 mins )
5/2661	(GI:42567005) is finished	(61.52 mins )
6/2661	(GI:15236141) is finished	(55.46 mins )
7/2661	(GI:18415696) is finished	(54.64 mins )
8/2661	(GI:186512349) is finished	(48.91 mins )
9/2661	(GI:15234620) is finished	(54.09 mins )
10/2661	(GI:15236804) is finished	(54.0 mins )
11/2661	(GI:145334181) is finished	(54.93 mins )
12/2661	(GI:15234184) is finished	(64.82 mins )
13/2661	(GI:30686893) is finished	(70.08 mins )
14/2661	(GI:15236595) is finished	(69.61 mins )
15/2661	(GI:15235066) is finished	(68.38 mins )
16/2661	(GI:18417041) is finished	(65.35 mins )
17/2661	(GI:15233451) is finished	(65.02 mins )
18/2661	(GI:186511991) is finished	(63.17 mins )
19/2661	(GI:18415729) is finished	(62.13 mins )
20/2661	(GI:186511995) is finished	(60.27 mins )
21/2661	(GI:15234343) is finished	(60.71 mins )
22/2661	(GI:15236147) is finished	(60.02 mins )
23/2661	(GI:186514756) is finished	(60.83 mins )
24/2661	(GI:18416889) is finished	(60.63 mins )
25/2661	(GI:30686099) is finished	(62.28 mins )
26/2661	(GI:42573103) is finished	(60.77 mins )
27/2661	(GI:240256115) is finished	(59.67 mins )
28/2661	(GI:145334133) is finished	(60.05 mins )
29/2661	(GI:186515828) is finished	(60.08 mins )
30/2661	(GI:240256200) is finished	(58.74 mins )
31/2661	(GI:15234005) is finished	(59.09 mins )
32/2661	(GI:15235728) is finished	(58.34 mins )
33/2661	(GI:79325171) is finished	(58.37 mins )
34/2661	(GI:15236647) is finished	(57.59 mins )
35/2661	(GI:186512461) is finished	(56.32 mins )
36/2661	(GI:30684833) is finished	(55.61 mins )
37/2661	(GI:42567068) is finished	(56.16 mins )
38/2661	(GI:145340387) is finished	(59.27 mins )
39/2661	(GI:15236839) is finished	(58.38 mins )
40/2661	(GI:186512232) is finished	(58.03 mins )
41/2661	(GI:15235203) is finished	(58.0 mins )
42/2661	(GI:15233440) is finished	(58.3 mins )
43/2661	(GI:15234798) is finished	(57.44 mins )
44/2661	(GI:15235292) is finished	(56.78 mins )
45/2661	(GI:30687005) is finished	(57.04 mins )
46/2661	(GI:30689384) is finished	(59.67 mins )
47/2661	(GI:15233959) is finished	(59.79 mins )
48/2661	(GI:42566959) is finished	(59.01 mins )
49/2661	(GI:15233896) is finished	(58.22 mins )
50/2661	(GI:22328768) is finished	(58.85 mins )
51/2661	(GI:42570170) is finished	(58.8 mins )
52/2661	(GI:15236154) is finished	(58.05 mins )
53/2661	(GI:30686059) is finished	(58.86 mins )
54/2661	(GI:15233787) is finished	(59.16 mins )
55/2661	(GI:15236040) is finished	(60.26 mins )
56/2661	(GI:79326098) is finished	(60.15 mins )
57/2661	(GI:18416004) is finished	(59.92 mins )
58/2661	(GI:18419954) is finished	(59.64 mins )
59/2661	(GI:30689305) is finished	(59.7 mins )
60/2661	(GI:18417127) is finished	(59.44 mins )
61/2661	(GI:15236503) is finished	(58.98 mins )
62/2661	(GI:30686186) is finished	(58.86 mins )
63/2661	(GI:30687607) is finished	(59.05 mins )
64/2661	(GI:145334177) is finished	(58.33 mins )
65/2661	(GI:240255995) is finished	(57.99 mins )
66/2661	(GI:186513238) is finished	(57.63 mins )
67/2661	(GI:15234793) is finished	(57.0 mins )
68/2661	(GI:42567387) is finished	(56.99 mins )
69/2661	(GI:18417239) is finished	(56.63 mins )
70/2661	(GI:18415840) is finished	(56.95 mins )
71/2661	(GI:15235328) is finished	(56.63 mins )
72/2661	(GI:145334137) is finished	(56.39 mins )
73/2661	(GI:18416906) is finished	(57.01 mins )
74/2661	(GI:42567409) is finished	(57.25 mins )
75/2661	(GI:15235063) is finished	(57.6 mins )
76/2661	(GI:79485345) is finished	(57.43 mins )
77/2661	(GI:30687954) is finished	(57.45 mins )
78/2661	(GI:22328997) is finished	(57.17 mins )
79/2661	(GI:15236036) is finished	(57.41 mins )
80/2661	(GI:15235869) is finished	(57.59 mins )
81/2661	(GI:145333528) is finished	(58.77 mins )
82/2661	(GI:186512055) is finished	(59.32 mins )
83/2661	(GI:79326134) is finished	(58.95 mins )
84/2661	(GI:15236603) is finished	(58.45 mins )
85/2661	(GI:79325361) is finished	(58.19 mins )
86/2661	(GI:42566924) is finished	(57.96 mins )
87/2661	(GI:240256197) is finished	(58.46 mins )
