1/2657	(GI:15235666) is finished	(11.5 mins )
2/2657	(GI:15230969) is finished	(20.43 mins )
3/2657	(GI:15236884) is finished	(24.6 mins )
4/2657	(GI:79325029) is finished	(24.27 mins )
5/2657	(GI:15232242) is finished	(39.02 mins )
6/2657	(GI:15235179) is finished	(39.34 mins )
7/2657	(GI:15233864) is finished	(42.85 mins )
8/2657	(GI:42566204) is finished	(41.36 mins )
9/2657	(GI:15233167) is finished	(40.67 mins )
10/2657	(GI:145339624) is finished	(39.69 mins )
11/2657	(GI:15233523) is finished	(45.91 mins )
12/2657	(GI:15228692) is finished	(45.41 mins )
13/2657	(GI:15231656) is finished	(43.7 mins )
14/2657	(GI:15235430) is finished	(42.16 mins )
15/2657	(GI:186511192) is finished	(40.77 mins )
16/2657	(GI:79325001) is finished	(45.1 mins )
17/2657	(GI:186511415) is finished	(43.81 mins )
18/2657	(GI:15233947) is finished	(46.29 mins )
19/2657	(GI:15232967) is finished	(46.29 mins )
20/2657	(GI:30692594) is finished	(47.68 mins )
21/2657	(GI:238480310) is finished	(48.1 mins )
22/2657	(GI:18412949) is finished	(48.46 mins )
23/2657	(GI:15231600) is finished	(49.56 mins )
24/2657	(GI:240255837) is finished	(49.67 mins )
25/2657	(GI:22328596) is finished	(55.58 mins )
26/2657	(GI:15236702) is finished	(55.73 mins )
27/2657	(GI:186511732) is finished	(53.96 mins )
28/2657	(GI:145333041) is finished	(54.3 mins )
29/2657	(GI:15231624) is finished	(53.97 mins )
30/2657	(GI:15233027) is finished	(55.52 mins )
31/2657	(GI:15236789) is finished	(56.73 mins )
32/2657	(GI:30681877) is finished	(57.7 mins )
33/2657	(GI:30680726) is finished	(56.85 mins )
34/2657	(GI:15234351) is finished	(56.37 mins )
35/2657	(GI:30695584) is finished	(56.83 mins )
36/2657	(GI:15233503) is finished	(55.56 mins )
37/2657	(GI:42572793) is finished	(55.87 mins )
38/2657	(GI:18410973) is finished	(56.62 mins )
39/2657	(GI:15236915) is finished	(57.99 mins )
40/2657	(GI:15234737) is finished	(57.35 mins )
41/2657	(GI:22331867) is finished	(56.54 mins )
42/2657	(GI:15229411) is finished	(55.69 mins )
43/2657	(GI:42566216) is finished	(55.66 mins )
44/2657	(GI:15234664) is finished	(56.26 mins )
45/2657	(GI:18410977) is finished	(57.3 mins )
46/2657	(GI:186511522) is finished	(56.23 mins )
47/2657	(GI:186511473) is finished	(55.46 mins )
48/2657	(GI:15236497) is finished	(54.8 mins )
49/2657	(GI:30680235) is finished	(54.31 mins )
50/2657	(GI:18412932) is finished	(54.71 mins )
51/2657	(GI:18411957) is finished	(54.13 mins )
52/2657	(GI:18413175) is finished	(53.3 mins )
53/2657	(GI:15234516) is finished	(53.51 mins )
54/2657	(GI:42572893) is finished	(53.38 mins )
55/2657	(GI:42570124) is finished	(53.1 mins )
56/2657	(GI:18411272) is finished	(53.03 mins )
57/2657	(GI:30694919) is finished	(53.16 mins )
58/2657	(GI:15233524) is finished	(53.94 mins )
59/2657	(GI:15233574) is finished	(54.51 mins )
60/2657	(GI:18414285) is finished	(53.94 mins )
61/2657	(GI:240255731) is finished	(53.47 mins )
62/2657	(GI:22328204) is finished	(53.86 mins )
63/2657	(GI:15235380) is finished	(53.67 mins )
64/2657	(GI:30682886) is finished	(53.34 mins )
65/2657	(GI:18412567) is finished	(53.72 mins )
66/2657	(GI:15236407) is finished	(54.35 mins )
67/2657	(GI:79315754) is finished	(54.17 mins )
68/2657	(GI:145332913) is finished	(53.75 mins )
69/2657	(GI:18412166) is finished	(53.7 mins )
70/2657	(GI:145332883) is finished	(53.59 mins )
71/2657	(GI:30695081) is finished	(52.97 mins )
72/2657	(GI:15233838) is finished	(53.13 mins )
73/2657	(GI:15233177) is finished	(52.65 mins )
74/2657	(GI:79460805) is finished	(52.29 mins )
75/2657	(GI:79316001) is finished	(52.4 mins )
76/2657	(GI:15230374) is finished	(52.74 mins )
77/2657	(GI:238480299) is finished	(53.6 mins )
78/2657	(GI:145333033) is finished	(53.26 mins )
79/2657	(GI:42572869) is finished	(53.41 mins )
80/2657	(GI:15229443) is finished	(53.05 mins )
81/2657	(GI:79315701) is finished	(52.9 mins )
82/2657	(GI:15234386) is finished	(52.96 mins )
83/2657	(GI:18412629) is finished	(52.85 mins )
84/2657	(GI:15232331) is finished	(52.79 mins )
85/2657	(GI:15233520) is finished	(52.64 mins )
86/2657	(GI:240255723) is finished	(52.48 mins )
87/2657	(GI:15228858) is finished	(52.19 mins )
88/2657	(GI:145332895) is finished	(51.97 mins )
89/2657	(GI:240255717) is finished	(52.26 mins )
90/2657	(GI:15229392) is finished	(52.51 mins )
91/2657	(GI:22328587) is finished	(52.27 mins )
92/2657	(GI:30682239) is finished	(52.08 mins )
93/2657	(GI:15234284) is finished	(52.21 mins )
94/2657	(GI:15229372) is finished	(51.9 mins )
95/2657	(GI:15231105) is finished	(51.55 mins )
96/2657	(GI:15232972) is finished	(51.22 mins )
97/2657	(GI:15233049) is finished	(51.58 mins )
98/2657	(GI:15228699) is finished	(51.59 mins )
99/2657	(GI:186511862) is finished	(51.27 mins )
100/2657	(GI:240255882) is finished	(50.96 mins )
101/2657	(GI:15235531) is finished	(50.64 mins )
102/2657	(GI:42566772) is finished	(50.34 mins )
103/2657	(GI:30678744) is finished	(50.17 mins )
104/2657	(GI:15233683) is finished	(50.55 mins )
105/2657	(GI:22331906) is finished	(50.74 mins )
106/2657	(GI:22328221) is finished	(50.35 mins )
107/2657	(GI:42572921) is finished	(51.11 mins )
108/2657	(GI:145340038) is finished	(51.19 mins )
109/2657	(GI:15233681) is finished	(50.99 mins )
110/2657	(GI:42566043) is finished	(51.55 mins )
111/2657	(GI:186511516) is finished	(51.18 mins )
112/2657	(GI:15234357) is finished	(50.96 mins )
113/2657	(GI:15234671) is finished	(51.03 mins )
114/2657	(GI:22331862) is finished	(51.69 mins )
115/2657	(GI:42572829) is finished	(51.4 mins )
116/2657	(GI:186511371) is finished	(51.67 mins )
117/2657	(GI:79325047) is finished	(51.52 mins )
118/2657	(GI:22328264) is finished	(51.77 mins )
119/2657	(GI:145332941) is finished	(51.75 mins )
120/2657	(GI:15233862) is finished	(52.44 mins )
121/2657	(GI:238480267) is finished	(52.49 mins )
122/2657	(GI:15230907) is finished	(52.22 mins )
123/2657	(GI:15231588) is finished	(52.48 mins )
124/2657	(GI:18412661) is finished	(52.39 mins )
125/2657	(GI:238480204) is finished	(52.17 mins )
126/2657	(GI:15229338) is finished	(52.08 mins )
127/2657	(GI:186511656) is finished	(51.72 mins )
128/2657	(GI:186511161) is finished	(51.38 mins )
129/2657	(GI:15235706) is finished	(51.2 mins )
130/2657	(GI:15233061) is finished	(50.99 mins )
131/2657	(GI:18411240) is finished	(50.98 mins )
132/2657	(GI:30679055) is finished	(50.86 mins )
133/2657	(GI:15234323) is finished	(51.43 mins )
134/2657	(GI:18412615) is finished	(51.44 mins )
135/2657	(GI:15233863) is finished	(51.46 mins )
136/2657	(GI:18411711) is finished	(51.36 mins )
137/2657	(GI:15233397) is finished	(51.89 mins )
138/2657	(GI:30694992) is finished	(52.16 mins )
